player_id,player,team,league,position,role,minutes,cluster,archetype,pc1,pc2,fit,pct_goals_p90,pct_assists_p90,pct_xg_p90,pct_xa_p90,pct_shots_p90,pct_key_passes_p90,pct_big_chances_created_p90,pct_dribbles_p90,pct_final_third_passes_p90,pct_tackles_won_p90,pct_interceptions_p90,pct_recoveries_p90,pct_clearances_p90,pct_aerials_won_p90
149734,Aymeric Laporte,Athletic Club,La Liga,Defender,Defenders,482,7,Defensive full-back,3.0501,-0.1761,0.3063,41.2,39.5,79.1,37.5,30.4,7.1,32.1,32.4,43.2,45.9,32.4,93.9,52.0,57.4
1171619,Beñat Gerenabarrena,Athletic Club,La Liga,Midfielder,Midfielders,373,3,Ball-winning midfielder,2.4973,1.7373,0.1976,33.8,32.0,7.0,35.1,9.6,10.5,24.6,6.1,13.2,87.7,99.1,8.8,34.2,72.8
783374,Iñaki Williams,Athletic Club,La Liga,Midfielder,Attackers,392,1,Wide dribbler,-2.8252,-2.251,0.1732,15.1,86.0,65.1,3.5,65.1,52.3,61.6,51.2,4.7,77.9,51.2,16.3,24.4,59.3
910267,Jesús Areso,Athletic Club,La Liga,Defender,Defenders,344,7,Defensive full-back,2.3376,0.6034,0.2569,41.2,39.5,39.2,77.0,43.2,93.2,32.1,45.9,63.5,70.3,92.6,30.4,8.1,63.5
1085400,Nico Williams,Athletic Club,La Liga,Midfielder,Attackers,364,6,Creative forward,-3.6367,0.7224,0.2124,47.7,30.2,51.2,96.5,73.8,75.6,67.4,72.1,83.7,93.0,84.9,86.0,74.4,36.0
966801,Oihan Sancet,Athletic Club,La Liga,Midfielder,Midfielders,515,4,Creative playmaker,-3.2892,0.0994,0.1896,70.2,32.0,97.4,86.0,92.1,66.7,50.9,94.7,51.3,8.8,22.8,26.3,1.8,74.6
944165,Robert Navarro,Athletic Club,La Liga,Midfielder,Attackers,317,1,Wide dribbler,-2.9083,-0.5911,0.1792,76.2,30.2,64.0,67.4,55.8,74.4,18.6,67.4,74.4,69.8,95.3,95.3,7.0,6.4
807648,Yeray Álvarez,Athletic Club,La Liga,Defender,Defenders,315,0,Progressive wing-back,1.5597,-0.1702,0.2151,41.2,94.9,61.5,7.1,70.9,61.8,91.2,89.2,33.1,10.8,56.1,64.2,56.4,68.9
84531,Yuri Berchiche,Athletic Club,La Liga,Defender,Defenders,367,0,Progressive wing-back,0.5575,2.0506,0.2095,41.2,39.5,74.3,75.0,99.3,92.6,85.8,42.2,90.5,82.4,45.9,98.6,10.1,30.4
824200,Ademola Lookman,Atlético Madrid,La Liga,Forward,Attackers,460,1,Wide dribbler,-3.2078,-1.2548,0.2382,36.0,30.2,45.3,66.3,31.4,94.2,46.5,37.2,73.3,50.0,16.3,24.4,7.0,6.4
177177,Alejandro Grimaldo,Atlético Madrid,La Liga,Midfielder,Defenders,535,0,Progressive wing-back,-0.8911,0.0773,0.2075,97.3,81.1,99.3,70.9,95.9,54.1,92.6,99.3,91.2,77.0,28.4,41.2,9.5,18.9
910031,Alex Baena,Atlético Madrid,La Liga,Midfielder,Attackers,455,6,Creative forward,-4.3575,-0.0534,0.1559,86.0,62.8,41.9,86.0,73.8,96.5,47.7,2.3,91.9,36.0,98.8,67.4,16.3,16.3
807771,Dávid Hancko,Atlético Madrid,La Liga,Defender,Defenders,549,0,Progressive wing-back,1.0023,0.7701,0.2396,41.2,95.9,70.9,67.6,89.9,49.3,91.9,91.2,80.1,29.1,79.1,56.1,60.1,48.0
1099352,Giuliano Simeone,Atlético Madrid,La Liga,Midfielder,Attackers,474,1,Wide dribbler,-1.8244,0.3137,0.1759,59.3,82.6,37.2,45.3,23.3,39.5,44.2,16.3,72.1,97.7,89.5,97.7,73.3,75.6
917087,Kang-in Lee,Atlético Madrid,La Liga,Midfielder,Midfielders,469,6,Creative forward,-4.5701,2.0889,0.1865,89.5,69.3,86.0,76.3,99.1,72.8,86.8,95.6,86.0,80.7,25.4,32.5,13.2,42.1
84539,Koke,Atlético Madrid,La Liga,Midfielder,Midfielders,358,4,Creative playmaker,-1.1583,4.3531,0.1916,33.8,32.0,28.9,70.2,21.9,74.6,65.8,22.8,100.0,92.1,30.7,71.9,9.6,5.7
1094106,Marc Pubill,Atlético Madrid,La Liga,Defender,Defenders,403,7,Defensive full-back,2.3098,-1.2056,0.2635,93.9,39.5,50.0,31.1,37.2,7.1,32.1,13.5,50.0,59.5,4.1,39.9,16.2,48.6
353138,Marcos Llorente,Atlético Madrid,La Liga,Defender,Defenders,465,0,Progressive wing-back,1.2141,2.4127,0.2342,41.2,83.1,39.9,52.0,49.3,96.6,32.1,77.7,96.6,61.5,91.9,89.2,7.4,8.1
859917,Morten Hjulmand,Atlético Madrid,La Liga,Midfielder,Midfielders,353,3,Ball-winning midfielder,0.8667,2.3574,0.2337,33.8,32.0,41.2,44.7,28.9,76.3,24.6,48.2,49.1,52.2,91.2,50.9,82.5,84.2
949962,Ferrán Jutglà,Celta Vigo,La Liga,Forward,Attackers,394,1,Wide dribbler,-1.3976,-2.6602,0.2459,45.3,30.2,20.9,33.7,14.0,29.1,60.5,32.6,23.3,7.6,16.3,45.3,55.8,65.1
962890,Ilaix Moriba,Celta Vigo,La Liga,Midfielder,Midfielders,492,3,Ball-winning midfielder,0.2424,2.181,0.2994,73.7,32.0,43.0,42.1,44.7,5.3,52.6,30.7,75.4,76.3,57.9,67.5,53.5,5.7
1008259,Javier Rueda,Celta Vigo,La Liga,Midfielder,Defenders,376,0,Progressive wing-back,1.2792,1.7229,0.3338,41.2,39.5,37.2,83.1,62.2,89.9,83.8,84.5,83.8,63.5,75.0,85.1,14.2,29.1
69408,Marcos Alonso,Celta Vigo,La Liga,Defender,Defenders,411,7,Defensive full-back,3.4592,1.4922,0.1863,41.2,39.5,69.6,50.7,58.8,7.1,32.1,13.5,99.3,58.1,96.6,90.5,77.0,52.7
1398526,Miguel Román,Celta Vigo,La Liga,Midfielder,Midfielders,579,4,Creative playmaker,-1.5528,2.3966,0.2729,68.4,85.1,26.3,57.0,53.5,46.5,50.0,42.1,86.8,31.6,20.2,58.8,45.6,50.0
1002764,Sergio Carreira,Celta Vigo,La Liga,Midfielder,Defenders,456,0,Progressive wing-back,0.069,0.924,0.2307,41.2,39.5,87.8,91.9,64.2,71.6,73.6,79.1,98.6,12.8,8.1,61.1,1.4,2.0
1126779,Williot Swedberg,Celta Vigo,La Liga,Midfielder,Attackers,310,1,Wide dribbler,-0.6115,-1.8689,0.2492,15.1,30.2,44.2,37.2,9.3,37.2,18.6,25.6,47.7,72.1,70.9,19.8,44.2,44.2
1145100,Yoel Lago,Celta Vigo,La Liga,Defender,Defenders,585,7,Defensive full-back,3.9551,0.2171,0.2376,41.2,39.5,29.7,19.9,11.5,16.2,32.1,13.5,41.6,27.0,95.9,78.4,67.2,23.6
1082968,Abderrahman Rebbach,Deportivo Alavés,La Liga,Midfielder,Attackers,561,7,Defensive full-back,1.1271,-0.3528,0.1864,15.1,30.2,1.2,7.0,3.5,1.2,18.6,68.6,37.2,90.7,97.7,80.2,87.2,57.0
855832,Antonio Blanco,Deportivo Alavés,La Liga,Midfielder,Midfielders,526,3,Ball-winning midfielder,1.8514,1.824,0.2446,33.8,32.0,34.2,22.4,56.1,18.4,24.6,12.3,16.7,64.0,93.9,57.9,60.5,25.0
235648,Jonny Otto,Deportivo Alavés,La Liga,Defender,Defenders,510,7,Defensive full-back,3.0779,0.1638,0.3879,41.2,39.5,35.8,33.8,29.7,38.5,32.1,69.6,27.0,83.8,29.7,72.3,59.5,27.0
814385,Lucas Boyé,Deportivo Alavés,La Liga,Forward,Attackers,484,5,Clinical finisher,-2.0249,-2.7124,0.1812,84.9,30.2,46.5,41.9,75.6,32.6,41.9,23.3,36.0,100.0,16.3,66.3,72.1,81.4
175753,Mariano Díaz,Deportivo Alavés,La Liga,Forward,Attackers,323,5,Clinical finisher,-4.1377,-2.9865,0.1846,88.4,98.8,61.6,58.1,52.3,34.9,72.1,66.3,17.4,27.9,16.3,65.1,65.1,80.2
896073,Nahuel Tenaglia,Deportivo Alavés,La Liga,Defender,Defenders,585,7,Defensive full-back,2.7636,-0.322,0.3503,83.8,39.5,68.2,57.4,75.0,33.8,66.2,62.8,12.8,65.5,83.1,54.1,67.2,36.5
1084381,Pablo Ibáñez,Deportivo Alavés,La Liga,Midfielder,Midfielders,580,3,Ball-winning midfielder,0.7716,0.7667,0.3237,67.5,32.0,64.0,10.5,59.6,16.7,24.6,74.6,17.5,30.7,74.6,72.8,77.2,70.2
831253,Toni Martínez,Deportivo Alavés,La Liga,Forward,Attackers,349,5,Clinical finisher,-1.6834,-3.8105,0.1773,15.1,30.2,76.7,24.4,67.4,59.3,87.2,2.3,10.5,84.9,16.3,10.5,98.8,97.7
999178,Ville Koski,Deportivo Alavés,La Liga,Defender,Defenders,620,2,Stopper centre-back,3.6136,-2.6676,0.272,83.1,39.5,89.9,2.0,27.0,7.1,32.1,28.4,1.4,11.5,56.8,2.7,89.2,47.3
1513222,Ángel Pérez,Deportivo Alavés,La Liga,Midfielder,Attackers,492,6,Creative forward,-4.4439,1.2961,0.2017,15.1,90.7,30.2,95.3,19.8,79.1,98.8,83.7,38.4,46.5,82.6,74.4,70.9,26.7
2335487,Bil Nsongo,Deportivo de A Coruña,La Liga,Forward,Attackers,409,1,Wide dribbler,-1.1687,-2.2168,0.2153,15.1,30.2,27.9,11.6,40.7,26.7,57.0,88.4,27.9,87.2,16.3,51.2,89.5,89.5
973300,Giacomo Quagliata,Deportivo de A Coruña,La Liga,Defender,Defenders,569,7,Defensive full-back,1.864,1.1783,0.226,41.2,39.5,53.4,81.8,64.9,79.7,66.9,79.7,47.3,19.6,94.6,89.9,10.8,6.8
325355,José María Giménez,Deportivo de A Coruña,La Liga,Defender,Defenders,364,2,Stopper centre-back,3.0679,-2.6643,0.2439,41.2,39.5,80.4,8.8,87.8,50.7,86.5,13.5,29.7,1.4,46.6,1.4,94.6,94.6
1100207,Lorenzo Amatucci,Deportivo de A Coruña,La Liga,Midfielder,Midfielders,540,3,Ball-winning midfielder,1.6779,1.3595,0.327,33.8,66.7,1.3,13.2,1.3,22.8,24.6,28.1,18.4,71.1,61.4,43.4,93.0,90.4
1127337,Lucas Noubi,Deportivo de A Coruña,La Liga,Defender,Defenders,450,2,Stopper centre-back,4.5504,-0.8293,0.3111,41.2,39.5,5.4,5.4,5.4,23.3,32.1,34.8,4.4,64.5,86.5,26.4,93.2,53.4
966526,Luismi Cruz,Deportivo de A Coruña,La Liga,Midfielder,Midfielders,399,4,Creative playmaker,-3.0495,2.9197,0.2197,83.3,78.9,54.4,95.6,43.9,97.4,61.8,77.6,61.4,62.3,28.9,38.6,30.7,69.3
984622,Mario Soriano,Deportivo de A Coruña,La Liga,Midfielder,Midfielders,508,4,Creative playmaker,-2.16,3.0183,0.216,33.8,87.7,49.1,62.3,57.9,52.6,92.1,29.8,64.9,15.8,42.1,69.3,32.5,27.2
51498,Pierre-Emerick Aubameyang,Deportivo de A Coruña,La Liga,Forward,Attackers,560,5,Clinical finisher,-3.9805,-3.2838,0.2149,87.2,80.2,77.9,47.7,64.0,64.0,38.4,30.2,44.2,33.7,67.4,23.3,88.4,45.3
150864,Ximo Navarro,Deportivo de A Coruña,La Liga,Defender,Defenders,533,7,Defensive full-back,3.5367,-0.3391,0.3159,41.2,39.5,57.4,31.8,60.1,18.2,32.1,13.5,40.5,78.4,82.4,18.2,62.2,19.6
1542721,Buba Sangaré,Elche,La Liga,Defender,Defenders,540,7,Defensive full-back,2.5728,-0.8744,0.2365,85.1,39.5,18.2,29.7,12.8,35.5,32.1,52.7,39.9,87.8,16.2,3.4,30.4,7.4
1117026,Federico Redondo,Elche,La Liga,Midfielder,Midfielders,327,3,Ball-winning midfielder,2.2658,3.5475,0.1781,33.8,32.0,14.0,25.4,12.3,23.7,67.5,25.4,3.5,86.8,97.4,94.7,93.9,23.2
1016019,Fernando Niño,Elche,La Liga,Forward,Attackers,470,5,Clinical finisher,-2.0751,-4.4212,0.2519,93.0,30.2,79.1,29.1,38.4,7.0,45.3,61.6,30.2,80.2,62.8,38.4,94.2,96.5
962710,Germán Valera,Elche,La Liga,Midfielder,Attackers,572,1,Wide dribbler,-1.5892,-0.2014,0.2779,30.2,30.2,7.0,70.9,1.2,81.4,37.2,59.3,68.6,54.7,74.4,58.1,91.9,33.7
914765,Gonzalo Villar,Elche,La Liga,Midfielder,Midfielders,573,4,Creative playmaker,-0.954,2.7734,0.3784,33.8,64.0,32.5,77.2,25.4,53.5,70.2,69.3,59.6,57.9,44.7,61.4,16.7,77.2
1832076,Javi Morcillo,Elche,La Liga,Midfielder,Midfielders,307,3,Ball-winning midfielder,3.0238,1.7214,0.2247,33.8,32.0,6.1,2.6,14.0,15.8,24.6,6.1,0.9,95.6,89.5,60.5,96.5,44.3
605374,Tete Morente,Elche,La Liga,Forward,Attackers,398,6,Creative forward,-2.4719,1.1799,0.1806,15.1,96.5,3.5,56.4,7.0,50.6,82.6,60.5,76.7,23.3,87.2,90.7,54.1,20.9
855831,Víctor Chust,Elche,La Liga,Defender,Defenders,630,7,Defensive full-back,2.2078,0.1612,0.3379,41.2,79.4,71.6,60.1,48.0,44.6,64.5,27.4,58.8,42.9,48.3,81.8,43.2,68.9
1129360,Clemens Riedel,Espanyol,La Liga,Defender,Defenders,375,2,Stopper centre-back,3.6864,-1.2971,0.4867,41.2,39.5,23.0,17.2,39.2,7.1,32.1,13.5,33.8,31.1,31.1,49.7,81.4,78.7
877262,Edu Expósito,Espanyol,La Liga,Midfielder,Midfielders,558,4,Creative playmaker,-2.8465,3.2435,0.2125,33.8,32.0,72.8,88.6,83.3,86.0,71.9,88.6,81.6,74.1,21.1,78.9,74.6,80.7
