goals,assists,xg,xa,shots,key_passes,big_chances_created,dribbles,final_third_passes,tackles_won,interceptions,recoveries,clearances,aerials_won,minutes,appearances,player_id,player,slug,team,league,position,season,goals_p90,assists_p90,xg_p90,xa_p90,shots_p90,key_passes_p90,big_chances_created_p90,dribbles_p90,final_third_passes_p90,tackles_won_p90,interceptions_p90,recoveries_p90,clearances_p90,aerials_won_p90
0,0,0.04,0.42,2,3,0,8,88,13,17,35,22,11,819,14,1398511,Adama Boiro,adama-boiro,Athletic Club,La Liga,Defender,2025/26,0.0,0.0,0.0044,0.0462,0.2198,0.3297,0.0,0.8791,9.6703,1.4286,1.8681,3.8462,2.4176,1.2088
2,0,1.11,0.52,13,4,1,3,77,12,28,69,76,30,1629,19,959872,Aitor Paredes,aitor-paredes,Athletic Club,La Liga,Defender,2025/26,0.1105,0.0,0.0613,0.0287,0.7182,0.221,0.0552,0.1657,4.2541,0.663,1.547,3.8122,4.1989,1.6575
1,1,0.58,1.34,12,11,1,9,104,20,25,72,16,14,1266,29,2110897,Alejandro Rego Mora,alejandro-rego-mora,Athletic Club,La Liga,Midfielder,2025/26,0.0711,0.0711,0.0412,0.0953,0.8531,0.782,0.0711,0.6398,7.3934,1.4218,1.7773,5.1185,1.1374,0.9953
0,1,0.25,1.45,5,16,2,12,135,25,16,46,39,13,1359,24,866810,Andoni Gorosabel,andoni-gorosabel,Athletic Club,La Liga,Defender,2025/26,0.0,0.0662,0.0166,0.096,0.3311,1.0596,0.1325,0.7947,8.9404,1.6556,1.0596,3.0464,2.5828,0.8609
0,1,1.62,0.33,15,7,1,2,109,17,25,87,127,60,2060,25,149734,Aymeric Laporte,aymeric-laporte,Athletic Club,La Liga,Defender,2025/26,0.0,0.0437,0.0708,0.0144,0.6553,0.3058,0.0437,0.0874,4.7621,0.7427,1.0922,3.801,5.5485,2.6214
1,0,1.23,0.78,17,6,3,5,139,36,32,130,143,31,2563,31,910978,Dani Vivian,dani-vivian,Athletic Club,La Liga,Defender,2025/26,0.0351,0.0,0.0432,0.0274,0.597,0.2107,0.1053,0.1756,4.881,1.2641,1.1237,4.565,5.0215,1.0886
10,3,10.46,1.87,84,26,7,7,150,6,12,59,18,78,2371,35,605672,Gorka Guruzeta,gorka-guruzeta,Athletic Club,La Liga,Forward,2025/26,0.3796,0.1139,0.397,0.071,3.1885,0.9869,0.2657,0.2657,5.6938,0.2278,0.4555,2.2396,0.6833,2.9608
3,6,6.39,3.45,57,26,7,12,174,9,8,67,14,30,2168,30,783374,Iñaki Williams,inaki-williams,Athletic Club,La Liga,Midfielder,2025/26,0.1245,0.2491,0.2653,0.1432,2.3662,1.0793,0.2906,0.4982,7.2232,0.3736,0.3321,2.7814,0.5812,1.2454
1,2,0.71,3.63,20,31,6,34,344,34,23,188,21,25,2231,34,96365,Iñigo Ruiz de Galarreta,inigo-ruiz-de-galarreta,Athletic Club,La Liga,Midfielder,2025/26,0.0403,0.0807,0.0286,0.1464,0.8068,1.2506,0.242,1.3716,13.8772,1.3716,0.9278,7.584,0.8472,1.0085
0,1,0.12,1.31,3,23,3,14,142,16,18,56,51,33,1513,26,910267,Jesús Areso,jesus-areso,Athletic Club,La Liga,Defender,2025/26,0.0,0.0595,0.0071,0.0779,0.1785,1.3681,0.1785,0.8328,8.4468,0.9518,1.0707,3.3311,3.0337,1.963
2,0,1.79,2.51,39,28,1,10,351,46,46,172,27,46,2843,36,1495844,Mikel Jauregizar,mikel-jauregizar,Athletic Club,La Liga,Midfielder,2025/26,0.0633,0.0,0.0567,0.0795,1.2346,0.8864,0.0317,0.3166,11.1115,1.4562,1.4562,5.445,0.8547,1.4562
0,0,0.15,0.19,3,4,0,7,63,11,9,38,10,14,459,23,359742,Mikel Vesga,mikel-vesga,Athletic Club,La Liga,Midfielder,2025/26,0.0,0.0,0.0294,0.0373,0.5882,0.7843,0.0,1.3725,12.3529,2.1569,1.7647,7.451,1.9608,2.7451
